"grupo","pergunta","dados_necessarios","arquivo_fonte","linhas_cobertas","linhas_total","cobertura_percentual","status","observacao"
"Corpus","Compilado de todos os artigos apresentados em sala","73 artigos esperados","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\artigos.csv","66","73","90.4","parcial","Ajuste MEDICAO_EXPECTED_CORPUS_SIZE se a turma tiver outro total oficial."
"RQ01","Caracterizacao de temas e anos","title, year, areas_pesquisa","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\grupo2_respostas.csv","51","66","77.3","parcial",""
"RQ01","Revista/conferencia e tipo de veiculo","venue_type e venue","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\grupo2_respostas.csv","40","66","60.6","parcial","venue local e heuristico; ACARI enrich melhora o nome do veiculo."
"RQ01","Citacoes e referencias","citations, n_references/num_referencias","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\grupo2_respostas.csv","0","66","0.0","ausente","Sem OpenAlex/Crossref, citacoes ficam ausentes."
"RQ02","Corpus supera baseline aleatoria em alinhamento","alignment_score e baseline.csv","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\acari\data","0","0","0.0","ausente","baseline.csv ausente; rode ACARI baseline."
"RQ03","Alinhamento difere entre turmas","cohort e alignment_score","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\grupo2_respostas.csv","0","66","0.0","ausente","A coluna cohort precisa estar preenchida para H2."
"RQ04","Tipos de veiculo diferem entre turmas","cohort e venue_type","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\grupo2_respostas.csv","0","66","0.0","ausente","A coluna cohort precisa estar preenchida para H3."
"RQ05","Ranking ARQI estavel","arqi_equal, arqi_pca, arqi_no_prestige","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\grupo2_respostas.csv","0","66","0.0","ausente","Rode ACARI ate index para preencher o indicador final."
"Qualidade","Analise critica dos artigos","replicabilidade, natureza, nivel, relacao, alinhamento","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\grupo2_respostas.csv","66","66","100.0","ok","Campos proxy sao automaticos; use rubric.csv para avaliacao humana."
"Rede tematica","Sobreposicao, continuidade e complementacao de temas","temas_ementa e artigos_relacionados","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\grupo2_respostas.csv","43","66","65.2","parcial",""
"Visualizacoes","Visualizacoes graficas dos dados coletados","graph.json e figuras ACARI","C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\graph.json; C:\Users\docs\Documents\PUC\MED-EXP\3d-relationship-graph\datasets\medicao\acari\figs","1","2","50.0","parcial","0 figura(s) ACARI encontradas."
