"grupo","pergunta","dados_necessarios","arquivo_fonte","linhas_cobertas","linhas_total","cobertura_percentual","status","observacao"
"Corpus","Compilado de todos os artigos apresentados em sala","66 artigos esperados","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/artigos.csv","5","66","7.6","ausente","Ajuste MEDICAO_EXPECTED_CORPUS_SIZE se a turma tiver outro total oficial."
"RQ01","Caracterizacao de temas e anos","title, year, areas_pesquisa","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/grupo2_respostas.csv","3","5","60.0","parcial",""
"RQ01","Revista/conferencia e tipo de veiculo","venue_type e venue","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/grupo2_respostas.csv","4","5","80.0","parcial","venue local e heuristico; ACARI enrich melhora o nome do veiculo."
"RQ01","Citacoes e referencias","citations, n_references/num_referencias","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/grupo2_respostas.csv","0","5","0.0","ausente","Sem OpenAlex/Crossref, citacoes ficam ausentes."
"RQ02","Corpus supera baseline aleatoria em alinhamento","alignment_score e baseline.csv","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/acari/data","0","0","0.0","ausente","baseline.csv ausente; rode ACARI baseline."
"RQ03","Alinhamento difere entre turmas","cohort e alignment_score","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/grupo2_respostas.csv","0","5","0.0","ausente","A coluna cohort precisa estar preenchida para H2."
"RQ04","Tipos de veiculo diferem entre turmas","cohort e venue_type","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/grupo2_respostas.csv","0","5","0.0","ausente","A coluna cohort precisa estar preenchida para H3."
"RQ05","Ranking ARQI estavel","arqi_equal, arqi_pca, arqi_no_prestige","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/grupo2_respostas.csv","0","5","0.0","ausente","Rode ACARI ate index para preencher o indicador final."
"Qualidade","Analise critica dos artigos","replicabilidade, natureza, nivel, relacao, alinhamento","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/grupo2_respostas.csv","5","5","100.0","ok","Campos proxy sao automaticos; use rubric.csv para avaliacao humana."
"Rede tematica","Sobreposicao, continuidade e complementacao de temas","temas_ementa e artigos_relacionados","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/grupo2_respostas.csv","4","5","80.0","parcial",""
"Visualizacoes","Visualizacoes graficas dos dados coletados","graph.json e figuras ACARI","/Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/graph.json; /Users/ak/Downloads/teste/3d-relationship-graph/datasets/teste/acari/figs","1","2","50.0","parcial","0 figura(s) ACARI encontradas."
